UNIPROT.K562	gene_name	mf	method.K562	final_score.K562	UNIPROT.LAMA84	method.LAMA84	final_score.LAMA84	conc
NA	APBA2	other	NA	NA	Q99767	proteoscore	-0.47572	NA
NA	APC	other	NA	NA	P25054	proteoscore	-0.904939	NA
NA	APOC3	other	NA	NA	P02656	proteoscore	2.69772	NA
NA	APOH	other	NA	NA	P02749	proteoscore	0.91814	NA
NA	AQP3	other	NA	NA	Q92482	proteoscore	-2.00712	NA
NA	ARFIP2	other	NA	NA	P53365	proteoscore	-2.24101	NA
NA	ARG2	other	NA	NA	P78540	proteoscore	0.800197	NA
NA	ARHGAP11A	other	NA	NA	Q6P4F7	proteoscore	-1.2956	NA
NA	ARHGAP18	other	NA	NA	Q8N392	proteoscore	0.252625	NA
NA	ARHGAP21	other	NA	NA	Q5T5U3	proteoscore	-0.751163	NA
NA	ARHGAP22	other	NA	NA	Q7Z5H3	proteoscore	-0.844833	NA
NA	ARHGAP30	other	NA	NA	Q7Z6I6	proteoscore	-0.518881	NA
NA	ARHGAP4	other	NA	NA	P98171	proteoscore	0.319768	NA
NA	ARHGAP9	other	NA	NA	Q9BRR9	proteoscore	0.515966	NA
NA	ARHGDIA	other	NA	NA	P52565	proteoscore	-1.01613	NA
NA	ARID4A	other	NA	NA	P29374	proteoscore	1.01168	NA
NA	ARL4A	other	NA	NA	P40617	proteoscore	-2.75051	NA
NA	ARRB2	other	NA	NA	P32121	proteoscore	0.866021	NA
NA	ASF1B	other	NA	NA	Q9NVP2	proteoscore	-0.69234	NA
NA	ASH2L	other	NA	NA	Q9UBL3	proteoscore	0.450681	NA
NA	ASXL2	other	NA	NA	Q76L83	proteoscore	-1.18436	NA
NA	ATG101	other	NA	NA	Q9BSB4	proteoscore	-1.12096	NA
NA	ATG3	other	NA	NA	Q9NT62	proteoscore	-0.677706	NA
NA	ATIC	other	NA	NA	P31939	proteoscore	-0.263252	NA
NA	ATP2C1	other	NA	NA	P98194	proteoscore	-0.372274	NA
NA	ATP5F1A	other	NA	NA	P25705	proteoscore	0.410777	NA
NA	ATP5F1B	other	NA	NA	P06576	proteoscore	0.372158	NA
NA	ATP5F1D	other	NA	NA	P30049	proteoscore	-1.61908	NA
NA	ATP5ME	other	NA	NA	P56385	proteoscore	0.842319	NA
NA	ATP5MG	other	NA	NA	O75964	proteoscore	0.631835	NA
NA	ATP5PD	other	NA	NA	O75947	proteoscore	0.357342	NA
NA	ATP5PO	other	NA	NA	P48047	proteoscore	0.710481	NA
NA	ATXN10	other	NA	NA	Q9UBB4	proteoscore	-0.923497	NA
NA	BABAM2	other	NA	NA	Q9NXR7	proteoscore	0.406935	NA
NA	BACH1	tf	NA	NA	O14867	proteoscore	-1.60593	NA
NA	BAD	other	NA	NA	Q92934	proteoscore	0.701651	NA
NA	BAG5	other	NA	NA	Q9UL15	proteoscore	-0.474966	NA
NA	BAIAP2	other	NA	NA	Q9UQB8	proteoscore	-0.611728	NA
NA	BCKDHB	other	NA	NA	P21953	proteoscore	0.656306	NA
NA	BIRC2	tf	NA	NA	Q13490	proteoscore	-0.886237	NA
NA	BMPR1A	kin	NA	NA	P36894	VIPER	2.321132694	NA
NA	BMPR1B	kin	NA	NA	O00238	VIPER	0.875891716	NA
NA	BMPR2	kin	NA	NA	Q13873	VIPER	1.048639785	NA
NA	BNIP2	other	NA	NA	Q12982	proteoscore	-0.33795	NA
NA	BPTF	other	NA	NA	Q12830	proteoscore	0.273818	NA
NA	BRD8	tf	NA	NA	Q9H0E9	proteoscore	-0.41158	NA
NA	BRD9	other	NA	NA	Q9H8M2	proteoscore	-0.980456	NA
NA	BSG	other	NA	NA	P35613;P35613	proteoscore	-0.704106	NA
NA	BTRC	other	NA	NA	Q9Y297	proteoscore	-0.869961	NA
NA	BUD13	other	NA	NA	Q9BRD0	proteoscore	-0.266747	NA
NA	C1D	tf	NA	NA	Q13901	proteoscore	-2.19402	NA
NA	C3	other	NA	NA	P01024	proteoscore	-1.12745	NA
NA	CALU	other	NA	NA	O43852	proteoscore	-0.599483	NA
NA	CAMK2A	kin	NA	NA	Q9UQM7;Q9UQM7	VIPER	0.766046843	NA
NA	CAMK2B	kin	NA	NA	Q13554	VIPER	1.067698468	NA
NA	CASP4	other	NA	NA	P49662	proteoscore	-0.43792	NA
NA	CASP8AP2	tf	NA	NA	Q9UKL3	proteoscore	-1.53208	NA
NA	CASP9	other	NA	NA	P55211	proteoscore	-0.761948	NA
NA	CAST	other	NA	NA	P20810	proteoscore	-0.535639	NA
NA	CBFB	tf	NA	NA	Q13951	proteoscore	-0.53305	NA
NA	CBX1	other	NA	NA	P83916	proteoscore	0.419265	NA
NA	CBX3	other	NA	NA	Q13185	proteoscore	-1.03554	NA
NA	CBX8	other	NA	NA	Q9HC52	proteoscore	0.354523	NA
NA	CC2D1A	tf	NA	NA	Q6P1N0	proteoscore	-0.222003	NA
NA	CCDC124	tf	NA	NA	Q96CT7	proteoscore	-0.452754	NA
NA	CCNC	other	NA	NA	P24863	proteoscore	-1.78229	NA
NA	CCND3	kin	NA	NA	P30281	proteoscore	-1.86952	NA
NA	CCNT1	other	NA	NA	O60563	proteoscore	-0.548694	NA
NA	CCT2	other	NA	NA	P78371	proteoscore	-0.527873	NA
NA	CCT3	other	NA	NA	P49368	proteoscore	-0.493343	NA
NA	CCT5	other	NA	NA	P48643	proteoscore	-0.608211	NA
NA	CCT6A	other	NA	NA	P40227	proteoscore	-0.306796	NA
NA	CD151	other	NA	NA	P48509	proteoscore	-1.13684	NA
NA	CD3D	other	NA	NA	P04234	proteoscore	-1.22091	NA
NA	CD44	other	NA	NA	P16070	proteoscore	-0.383117	NA
NA	CD70	other	NA	NA	P32970	proteoscore	0.960569	NA
NA	CD74	other	NA	NA	P04233	proteoscore	-0.322431	NA
NA	CD82	other	NA	NA	P27701	proteoscore	-0.612671	NA
NA	CDC25C	phos	NA	NA	P30307	proteoscore	-0.813565	NA
NA	CDC5L	tf	NA	NA	Q99459	proteoscore	-0.256933	NA
NA	CDCA7L	other	NA	NA	Q96GN5	proteoscore	-1.13389	NA
NA	CDK11B	kin	NA	NA	P211272;P21127	VIPER	-1.497877641	NA
NA	CDK19	kin	NA	NA	Q9BWU1	proteoscore	1.40282	NA
NA	CDK20	kin	NA	NA	Q8IZL9	VIPER	-1.497877641	NA
NA	CDK2AP1	other	NA	NA	O14519	proteoscore	-1.47368	NA
NA	CDK8	kin	NA	NA	P49336	VIPER	-1.322077738	NA
NA	CEMIP2	other	NA	NA	Q9UHN6	proteoscore	0.44932	NA
NA	CENPL	other	NA	NA	Q8N0S6	proteoscore	-0.848634	NA
NA	CEP350	other	NA	NA	Q5VT06	proteoscore	-1.44126	NA
NA	CEP43	other	NA	NA	O95684	proteoscore	-1.20916	NA
NA	CERS5	other	NA	NA	Q8N5B7	proteoscore	1.04934	NA
NA	CERS6	other	NA	NA	Q6ZMG9	proteoscore	-1.15633	NA
NA	CGAS	other	NA	NA	Q8N884	proteoscore	-1.0591	NA
NA	CHAMP1	other	NA	NA	Q96JM3	proteoscore	-0.45065	NA
NA	CHD2	other	NA	NA	O14647	proteoscore	0.458154	NA
NA	CHD3	other	NA	NA	Q12873	proteoscore	0.872274	NA
NA	CHD7	other	NA	NA	Q9P2D1	proteoscore	-0.783046	NA
NA	CHMP4B	other	NA	NA	Q9H444	proteoscore	-0.807821	NA
NA	CHMP5	other	NA	NA	Q9NZZ3	proteoscore	-0.437999	NA
NA	CHMP6	other	NA	NA	Q96FZ7	proteoscore	-0.731665	NA
NA	CHN1	other	NA	NA	P15882	proteoscore	-3.91079	NA
NA	CIP2A	other	NA	NA	Q8TCG1	proteoscore	-0.482905	NA
NA	CISH	other	NA	NA	Q9NSE2	proteoscore	-2.04289	NA
NA	CKB	kin	NA	NA	P12277	proteoscore	0.313879	NA
NA	CLTA	other	NA	NA	P09496	proteoscore	-0.755092	NA
NA	CLTCL1	other	NA	NA	P53675	proteoscore	4.52655	NA
NA	CLU	other	NA	NA	P10909	proteoscore	1.164	NA
NA	CNOT1	other	NA	NA	A5YKK6	proteoscore	-0.236747	NA
NA	CNOT3	other	NA	NA	O75175	proteoscore	-0.494554	NA
NA	CNOT7	tf	NA	NA	Q9UIV1	proteoscore	-0.350969	NA
NA	COMMD1	other	NA	NA	Q8N668	proteoscore	1.8631	NA
NA	COMT	other	NA	NA	P21964	proteoscore	0.387569	NA
NA	COPS2	tf	NA	NA	P61201	proteoscore	-0.385066	NA
NA	COPS4	other	NA	NA	Q9BT78	proteoscore	-0.287063	NA
NA	COPS5	tf	NA	NA	Q92905	proteoscore	-0.312335	NA
NA	CPSF6	other	NA	NA	Q16630	proteoscore	0.358268	NA
NA	CRADD	other	NA	NA	P78560	proteoscore	-0.597339	NA
NA	CSF2RB	other	NA	NA	P32927	PhosphoScore	1.56457	NA
NA	CSNK1A1	kin	NA	NA	P48729	VIPER	0.754652965	NA
NA	CSNK1D	kin	NA	NA	P48730	proteoscore	-0.621364	NA
NA	CSNK2A2	kin	NA	NA	P19784	VIPER	1.650574822	NA
NA	CSRP1	other	NA	NA	P21291	proteoscore	-0.744293	NA
NA	CTBP2	tf	NA	NA	P56545	proteoscore	0.305799	NA
NA	CTNNA2	other	NA	NA	P26232	proteoscore	-2.11934	NA
NA	CTNND1	other	NA	NA	O60716	PhosphoScore	-1.27982	NA
NA	CTTN	other	NA	NA	Q14247	proteoscore	-0.762658	NA
NA	CUL4A	other	NA	NA	Q13619	proteoscore	-0.335902	NA
NA	DAGLB	other	NA	NA	Q8NCG7	proteoscore	-0.664579	NA
NA	DAZAP1	other	NA	NA	Q96EP5	proteoscore	0.488306	NA
NA	DCAF15	other	NA	NA	Q66K64	proteoscore	-1.45942	NA
NA	DCAF4	other	NA	NA	Q8WV16	proteoscore	-0.921655	NA
NA	DCK	kin	NA	NA	P27707	PhosphoScore	-2.33565	NA
NA	DCTN2	other	NA	NA	Q13561	proteoscore	-0.402477	NA
NA	DDB1	other	NA	NA	Q16531	proteoscore	-0.317725	NA
NA	DDOST	other	NA	NA	P39656;A0A024RAD5	proteoscore	0.370925	NA
NA	DDX41	other	NA	NA	Q9UJV9	proteoscore	-0.24332	NA
NA	DERL1	other	NA	NA	Q9BUN8	proteoscore	-0.619315	NA
NA	DET1	other	NA	NA	Q7L5Y6	proteoscore	-0.927418	NA
NA	DFFA	other	NA	NA	O00273	proteoscore	-0.743335	NA
NA	DFFB	other	NA	NA	O76075	proteoscore	0.373466	NA
NA	DGAT1	other	NA	NA	O75907	proteoscore	0.990066	NA
NA	DGCR8	other	NA	NA	Q8WYQ5	proteoscore	-0.576029	NA
NA	DGKA	kin	NA	NA	P23743	proteoscore	0.873391	NA
NA	DGKZ	kin	NA	NA	Q13574	proteoscore	0.43236	NA
NA	DIDO1	other	NA	NA	Q9BTC0	proteoscore	-0.291754	NA
NA	DLG1	kin	NA	NA	Q12959	proteoscore	0.514378	NA
NA	DNMT3A	tf	NA	NA	Q9Y6K1	proteoscore	1.55418	NA
NA	DOK1	other	NA	NA	Q99704	proteoscore	-0.392919	NA
NA	DOK2	other	NA	NA	O60496	proteoscore	0.428602	NA
NA	DUSP22	phos	NA	NA	Q9NRW4	proteoscore	0.701355	NA
NA	DYNC1I2	other	NA	NA	Q13409	proteoscore	-0.796067	NA
NA	DYRK4	kin	NA	NA	Q9NR20	PhosphoScore	-1.39089	NA
NA	E2F3	tf	NA	NA	O00716	proteoscore	2.33705	NA
NA	ECSIT	other	NA	NA	Q9BQ95	proteoscore	-0.385607	NA
NA	EDF1	tf	NA	NA	O60869	proteoscore	-0.39455	NA
NA	EHMT1	other	NA	NA	Q9H9B1	proteoscore	-0.365395	NA
NA	EIF3C	other	NA	NA	Q99613	proteoscore	-2.08706	NA
NA	EIF4EBP1	other	NA	NA	Q13541	PhosphoScore	8.75724	NA
NA	ELOB	other	NA	NA	Q15370	proteoscore	-0.571553	NA
NA	ELOC	other	NA	NA	Q15369	proteoscore	-0.387626	NA
NA	EMSY	other	NA	NA	Q7Z589	proteoscore	0.474354	NA
NA	ENG	other	NA	NA	P17813	proteoscore	0.337943	NA
NA	ENSA	other	NA	NA	O43768	proteoscore	-0.806851	NA
NA	ENY2	tf	NA	NA	Q9NPA8	proteoscore	-0.672546	NA
NA	EP400	other	NA	NA	Q96L91	proteoscore	0.491089	NA
NA	EPB42	other	NA	NA	P16452	proteoscore	1.52506	NA
NA	EPN1	other	NA	NA	Q9Y6I3	proteoscore	-0.357602	NA
NA	ERAP1	other	NA	NA	Q9NZ08	proteoscore	0.315948	NA
NA	ERAP2	other	NA	NA	Q6P179	proteoscore	0.305781	NA
NA	ERBIN	other	NA	NA	Q96RT1	proteoscore	-0.586076	NA
NA	ERCC3	other	NA	NA	P19447	proteoscore	0.594238	NA
NA	ERCC8	other	NA	NA	Q13216	proteoscore	1.55527	NA
NA	ESRRA	tf	NA	NA	P11474	proteoscore	-1.1348	NA
NA	EXOC6	other	NA	NA	Q8TAG9	proteoscore	-0.317513	NA
NA	EXOSC3	other	NA	NA	Q9NQT5	proteoscore	0.316019	NA
NA	EXOSC4	other	NA	NA	Q9NPD3	proteoscore	-0.220082	NA
NA	EXOSC6	other	NA	NA	Q5RKV6	proteoscore	0.310572	NA
NA	F5	other	NA	NA	P12259	proteoscore	3.5475	NA
NA	FAAP100	other	NA	NA	Q0VG06	proteoscore	-1.07134	NA
NA	FADD	other	NA	NA	Q13158	proteoscore	-0.348088	NA
NA	FADS1	other	NA	NA	O60427	proteoscore	-0.969775	NA
NA	FADS2	other	NA	NA	O95864	proteoscore	-1.27965	NA
NA	FAM20C	kin	NA	NA	Q8IXL6	VIPER	7.547497822	NA
NA	FANCA	other	NA	NA	O15360	proteoscore	-1.07225	NA
NA	FANCL	other	NA	NA	Q9NW38	proteoscore	2.12006	NA
NA	FBXL18	other	NA	NA	Q96ME1	proteoscore	1.05578	NA
NA	FBXO28	other	NA	NA	Q9NVF7	proteoscore	-1.25498	NA
NA	FBXW5	other	NA	NA	Q969U6	proteoscore	-1.95344	NA
NA	FCGR2B	other	NA	NA	P31994	proteoscore	0.563582	NA
NA	FHIT	other	NA	NA	P49789	proteoscore	0.640229	NA
NA	FIP1L1	other	NA	NA	Q6UN15	proteoscore	-0.406126	NA
NA	FOXJ3	tf	NA	NA	Q9UPW0	proteoscore	-0.841821	NA
NA	FOXK2	tf	NA	NA	Q01167	proteoscore	-0.316586	NA
NA	FXN	other	NA	NA	Q16595	proteoscore	0.37524	NA
NA	FZD6	other	NA	NA	O60353	proteoscore	-1.20732	NA
NA	GAB2	other	NA	NA	Q9UQC2	PhosphoScore	1.18069	NA
NA	GAR1	other	NA	NA	Q9NY12	proteoscore	0.470767	NA
NA	GART	other	NA	NA	P22102	proteoscore	-0.252426	NA
NA	GATA2	tf	NA	NA	P23769	proteoscore	-2.70058	NA
NA	GBF1	other	NA	NA	Q92538	proteoscore	-0.328209	NA
NA	GC	other	NA	NA	P02774	proteoscore	0.614403	NA
NA	GGA1	other	NA	NA	Q9UJY5	proteoscore	-0.480384	NA
NA	GLA	other	NA	NA	P06280	proteoscore	-0.270898	NA
NA	GLMN	other	NA	NA	Q92990	proteoscore	-0.318948	NA
NA	GLS2	other	NA	NA	Q9UI32	proteoscore	-2.98696	NA
NA	GLYR1	other	NA	NA	Q49A26	proteoscore	0.293095	NA
NA	GMFB	other	NA	NA	P60983	proteoscore	-0.567912	NA
NA	GMPS	other	NA	NA	P49915	proteoscore	-0.210515	NA
NA	GNA15	other	NA	NA	P30679	proteoscore	-0.35705	NA
NA	GNG2	other	NA	NA	P59768	proteoscore	-1.49893	NA
NA	GOLGA2	other	NA	NA	Q08379	proteoscore	0.576682	NA
NA	GP1BB	other	NA	NA	P13224	proteoscore	-1.27349	NA
NA	GPX1	other	NA	NA	P07203	proteoscore	1.28799	NA
NA	GRK1	kin	NA	NA	Q15835	VIPER	0.634537183	NA
NA	GRK2	kin	NA	NA	P25098	VIPER	2.190789592	NA
NA	GRK3	kin	NA	NA	P35626	VIPER	2.870564781	NA
NA	GRK5	kin	NA	NA	P34947	VIPER	3.234472608	NA
NA	GTF2E1	other	NA	NA	P29083	proteoscore	-0.529196	NA
NA	GTF2H4	other	NA	NA	Q92759	proteoscore	0.439743	NA
NA	GTF3C2	other	NA	NA	Q8WUA4	proteoscore	0.403492	NA
NA	GYS1	other	NA	NA	P13807	proteoscore	0.367919	NA
NA	H2AC21	other	NA	NA	Q8IUE6	proteoscore	0.456667	NA
NA	HACD2	other	NA	NA	Q6Y1H2	proteoscore	1.50784	NA
NA	HARS1	other	NA	NA	P12081	proteoscore	-0.374185	NA
NA	HAT1	other	NA	NA	O14929	proteoscore	-0.505505	NA
NA	HAUS1	other	NA	NA	Q96CS2	proteoscore	-0.627012	NA
NA	HAUS4	other	NA	NA	Q9H6D7	proteoscore	-0.724284	NA
NA	HAUS5	other	NA	NA	O94927	proteoscore	-0.291763	NA
NA	HAUS7	other	NA	NA	Q99871	proteoscore	-0.602914	NA
NA	HCLS1	other	NA	NA	P14317	proteoscore	-0.551458	NA
NA	HDAC1	tf	NA	NA	Q13547	proteoscore	0.292035	NA
NA	HDAC3	tf	NA	NA	O15379	proteoscore	0.399974	NA
NA	HECTD3	other	NA	NA	Q5T447	proteoscore	0.486787	NA
NA	HERC1	other	NA	NA	Q15751	proteoscore	-0.373185	NA
NA	HERC2	other	NA	NA	O95714	proteoscore	-0.499808	NA
NA	HEXIM1	other	NA	NA	O94992	proteoscore	-0.785029	NA
NA	HGS	other	NA	NA	O14964	proteoscore	-0.241923	NA
NA	HLTF	other	NA	NA	Q14527	proteoscore	-0.2315	NA
NA	HMGB1	tf	NA	NA	P09429	proteoscore	0.608264	NA
NA	HMGB2	tf	NA	NA	P26583	proteoscore	0.496229	NA
NA	HNRNPA1	other	NA	NA	P09651	PhosphoScore	4.51723	NA
NA	HNRNPC	other	NA	NA	P07910	proteoscore	0.61919	NA
NA	HNRNPD	other	NA	NA	Q14103	proteoscore	0.317602	NA
NA	HNRNPK	other	NA	NA	P61978	PhosphoScore	0.972719	NA
NA	HNRNPL	other	NA	NA	P14866	proteoscore	0.29035	NA
NA	HOOK3	other	NA	NA	Q86VS8	proteoscore	-0.550636	NA
NA	HPS1	other	NA	NA	Q92902	proteoscore	0.641435	NA
NA	HPS5	other	NA	NA	Q9UPZ3	proteoscore	1.08666	NA
NA	HPSE2	other	NA	NA	Q8WWQ2	proteoscore	4.66206	NA
NA	HSCB	other	NA	NA	Q8IWL3	proteoscore	0.902249	NA
NA	HSD17B10	other	NA	NA	Q99714	proteoscore	0.429548	NA
NA	HSD17B4	other	NA	NA	P51659	proteoscore	-0.30267	NA
NA	HSF1	tf	NA	NA	Q00613	PhosphoScore	-1.01595	NA
NA	HUWE1	other	NA	NA	Q7Z6Z7	proteoscore	0.237869	NA
NA	HYOU1	other	NA	NA	Q9Y4L1	proteoscore	-0.322094	NA
NA	ICAM1	other	NA	NA	P05362	proteoscore	-0.478072	NA
NA	IFITM3	other	NA	NA	Q01628	proteoscore	-0.506392	NA
NA	IL1RAP	other	NA	NA	Q9NPH3	proteoscore	-0.573559	NA
NA	IL2RG	other	NA	NA	P31785	proteoscore	-2.08653	NA
NA	IMPACT	other	NA	NA	Q9P2X3	proteoscore	0.577843	NA
NA	IMPDH2	other	NA	NA	P12268	proteoscore	-0.240741	NA
NA	ING3	other	NA	NA	Q9NXR8	proteoscore	-0.653943	NA
NA	INO80C	other	NA	NA	Q6PI98	proteoscore	-0.369596	NA
NA	INO80D	other	NA	NA	Q53TQ3	proteoscore	1.51042	NA
NA	INO80E	other	NA	NA	Q8NBZ0	proteoscore	-0.534295	NA
NA	INTS10	other	NA	NA	Q9NVR2	proteoscore	0.414842	NA
NA	INTS12	other	NA	NA	Q96CB8	proteoscore	1.21805	NA
NA	INTS13	other	NA	NA	Q9NVM9	proteoscore	-0.523798	NA
NA	INTS14	other	NA	NA	Q96SY0	proteoscore	-0.437536	NA
NA	IQSEC2	other	NA	NA	Q5JU85	proteoscore	-0.956984	NA
NA	IRAK1	kin	NA	NA	P51617	proteoscore	-2.21889	NA
NA	IRF2	tf	NA	NA	P14316	proteoscore	1.43665	NA
NA	IRF9	tf	NA	NA	Q00978	proteoscore	1.94762	NA
NA	ITGA4	other	NA	NA	P13612	PhosphoScore	0.967505	NA
NA	ITGAL	other	NA	NA	P20701	proteoscore	0.477841	NA
NA	ITGAX	other	NA	NA	P20702	proteoscore	2.51304	NA
NA	ITGB5	other	NA	NA	P18084	proteoscore	1.0418	NA
NA	ITPR1	other	NA	NA	Q14643	proteoscore	0.297516	NA
NA	JAK1	kin	NA	NA	P23458	proteoscore	-0.602936	NA
NA	JMJD1C	tf	NA	NA	Q15652	proteoscore	0.941882	NA
NA	JUN	tf	NA	NA	P05412	PhosphoScore	-2.20789	NA
NA	KANSL1	other	NA	NA	Q7Z3B3	proteoscore	-0.538685	NA
NA	KARS1	other	NA	NA	Q15046	proteoscore	-0.322995	NA
NA	KATNAL2	other	NA	NA	Q8IYT4	proteoscore	1.27062	NA
NA	KATNB1	other	NA	NA	Q9BVA0	proteoscore	-0.361547	NA
NA	KCNH2	other	NA	NA	Q12809;Q12809_VAR_014388	proteoscore	-1.00613	NA
NA	KDM5B	tf	NA	NA	Q9UGL1	proteoscore	1.11801	NA
NA	KDM6A	other	NA	NA	O15550	proteoscore	0.772837	NA
NA	KHDRBS1	other	NA	NA	Q07666	proteoscore	-0.52968	NA
NA	KHSRP	other	NA	NA	Q92945	PhosphoScore	6.1488	NA
NA	KIF20B	other	NA	NA	Q96Q89	proteoscore	-1.18762	NA
NA	KIF3A	other	NA	NA	Q9Y496	proteoscore	-1.20625	NA
NA	KIT	kin	NA	NA	P10721	proteoscore	0.681526	NA
NA	KLC1	other	NA	NA	Q07866	proteoscore	-0.60024	NA
NA	KLF16	tf	NA	NA	Q9BXK1	proteoscore	-1.21242	NA
NA	KLHL18	other	NA	NA	O94889	proteoscore	1.17228	NA
NA	KLHL42	other	NA	NA	Q9P2K6	proteoscore	-1.20957	NA
NA	KNL1	other	NA	NA	Q8NG31	proteoscore	-1.23883	NA
NA	LAMC1	other	NA	NA	P11047	proteoscore	-1.77636	NA
NA	LAMTOR4	other	NA	NA	Q0VGL1	proteoscore	-0.414025	NA
NA	LARP1	other	NA	NA	Q6PKG0	proteoscore	-0.4334	NA
NA	LASP1	other	NA	NA	Q14847	proteoscore	-0.824812	NA
NA	LAT	other	NA	NA	O43561;O43561	proteoscore	-0.880286	NA
NA	LDHB	other	NA	NA	P07195	proteoscore	-0.49992	NA
NA	LGALS3	other	NA	NA	P17931	proteoscore	1.17551	NA
NA	LIG1	other	NA	NA	P18858	proteoscore	-0.597864	NA
NA	LIMA1	other	NA	NA	Q9UHB6	proteoscore	-0.442201	NA
NA	LNPEP	other	NA	NA	Q9UIQ6	proteoscore	0.431323	NA
NA	LNPK	other	NA	NA	Q9C0E8	proteoscore	0.52214	NA
NA	LPCAT1	other	NA	NA	Q8NF37	proteoscore	-0.543013	NA
NA	LPP	other	NA	NA	Q93052	proteoscore	-1.61296	NA
NA	LTC4S	other	NA	NA	Q16873	proteoscore	-0.82514	NA
NA	LTF	other	NA	NA	P02788	proteoscore	0.378614	NA
NA	LZTR1	other	NA	NA	Q8N653	proteoscore	-2.04531	NA
NA	MACROH2A1	other	NA	NA	O75367	proteoscore	0.343675	NA
NA	MAN1A1	other	NA	NA	P33908	proteoscore	-0.442646	NA
NA	MAOA	other	NA	NA	P21397	proteoscore	0.583304	NA
NA	MAP2K2	kin	NA	NA	P36507	PhosphoScore	-4.61013	NA
NA	MAP2K5	kin	NA	NA	Q13163	proteoscore	0.746329	NA
NA	MAP2K7	kin	NA	NA	O14733	proteoscore	-0.338687	NA
NA	MAP3K1	kin	NA	NA	Q13233	proteoscore	-0.918163	NA
NA	MAP3K3	kin	NA	NA	Q99759	proteoscore	1.38824	NA
NA	MAP3K5	kin	NA	NA	Q99683	proteoscore	-0.902001	NA
NA	MAP4K2	kin	NA	NA	Q12851	proteoscore	1.68927	NA
NA	MAP4K5	kin	NA	NA	Q9Y4K4	proteoscore	-0.611169	NA
NA	MAPK3	kin	NA	NA	P27361;P27361	VIPER	-0.739639732	NA
NA	MAPK8	kin	NA	NA	P45983	proteoscore	-0.772586	NA
NA	MAT2B	other	NA	NA	Q9NZL9	proteoscore	-0.273668	NA
NA	MAX	tf	NA	NA	P61244;P61244	proteoscore	-1.11721	NA
NA	MCM4	other	NA	NA	P33991	PhosphoScore	2.36613	NA
NA	MCRIP1	other	NA	NA	C9JLW8	proteoscore	-2.35832	NA
NA	MDM2	other	NA	NA	Q00987	PhosphoScore	-4.43729	NA
NA	MED11	tf	NA	NA	Q9P086	proteoscore	1.11045	NA
NA	MED22	tf	NA	NA	Q15528	proteoscore	-1.39568	NA
NA	MED29	tf	NA	NA	Q9NX70	proteoscore	-2.99535	NA
NA	MED4	tf	NA	NA	Q9NPJ6	proteoscore	-0.345978	NA
NA	MED6	tf	NA	NA	O75586	proteoscore	0.388595	NA
NA	MEX3B	other	NA	NA	Q6ZN04	proteoscore	-1.84913	NA
NA	MFF	other	NA	NA	Q9GZY8	proteoscore	-0.710117	NA
NA	MICU2	other	NA	NA	Q8IYU8	proteoscore	-2.26568	NA
NA	MINDY3	other	NA	NA	Q9H8M7	proteoscore	-0.586544	NA
NA	MIS12	other	NA	NA	Q9H081	proteoscore	-0.506273	NA
NA	MKNK1	kin	NA	NA	Q9BUB5;Q9BUB5	proteoscore	-0.783558	NA
NA	MMUT	other	NA	NA	P22033	proteoscore	0.349114	NA
NA	MPG	other	NA	NA	P29372	proteoscore	-0.336015	NA
NA	MRE11	other	NA	NA	P49959	proteoscore	0.218381	NA
NA	MRPL14	other	NA	NA	Q6P1L8	proteoscore	0.451654	NA
NA	MRPL21	other	NA	NA	Q7Z2W9	proteoscore	0.325067	NA
NA	MRPL28	other	NA	NA	Q13084	proteoscore	-0.369646	NA
NA	MRPL35	other	NA	NA	Q9NZE8	proteoscore	0.57	NA
NA	MRPL55	other	NA	NA	Q7Z7F7	proteoscore	-0.54157	NA
NA	MRPS14	other	NA	NA	O60783	proteoscore	0.509691	NA
NA	MRPS18A	other	NA	NA	Q9NVS2	proteoscore	0.330951	NA
NA	MRPS28	other	NA	NA	Q9Y2Q9	proteoscore	-0.465606	NA
NA	MRPS33	other	NA	NA	Q9Y291	proteoscore	1.24265	NA
NA	MRPS7	other	NA	NA	Q9Y2R9	proteoscore	-0.564337	NA
NA	MRPS9	other	NA	NA	P82933	proteoscore	-0.284753	NA
NA	MSL2	other	NA	NA	Q9HCI7	proteoscore	0.395912	NA
NA	MTA1	tf	NA	NA	Q13330	proteoscore	0.257417	NA
NA	MTHFD1L	other	NA	NA	Q6UB35	proteoscore	-0.293164	NA
NA	MTMR2	other	NA	NA	Q13614	proteoscore	-0.639611	NA
NA	MTMR3	phos	NA	NA	Q13615	proteoscore	-0.469715	NA
NA	MYH9	other	NA	NA	P35579	proteoscore	-0.535406	NA
NA	MYLK	kin	NA	NA	Q15746	VIPER	-0.759492584	NA
NA	MYLK3	kin	NA	NA	Q32MK0	VIPER	-0.759492584	NA
NA	NAA10	other	NA	NA	P41227	proteoscore	-0.590244	NA
NA	NAA30	other	NA	NA	Q147X3	proteoscore	0.389941	NA
NA	NAMPT	other	NA	NA	P43490	proteoscore	-0.238855	NA
NA	NARS2	other	NA	NA	Q96I59	proteoscore	0.561405	NA
NA	NCAPH	other	NA	NA	Q15003	proteoscore	-0.516918	NA
NA	NCBP3	other	NA	NA	Q53F19	proteoscore	0.302116	NA
NA	NCF1	other	NA	NA	P14598	PhosphoScore	0.695745	NA
